500,1000,7,4
364,454,3628
156,79,9893
61,71,2795
241,180,1953
451,474,7213
300,185,5810
112,493,6867
302,54,6585
43,211,32
103,322,8619
233,174,6199
290,171,2677
478,104,3205
75,226,8835
154,346,6977
258,414,5209
195,438,4932
191,288,4849
280,392,7652
402,53,1468
480,164,7489
140,113,2674
292,3,9011
276,334,531
412,208,607
475,183,3050
141,91,1656
406,142,7586
296,303,7442
380,482,6493
426,223,7144
284,441,6122
101,160,1532
498,452,3609
73,5,2001
127,168,12
241,393,7159
426,243,5866
77,253,4954
259,426,3009
269,231,6279
492,271,1490
234,232,3326
287,391,4030
336,360,5264
159,324,9912
50,206,7084
89,168,5687
409,472,910
376,449,2759
365,222,2600
378,252,4612
306,176,731
152,285,1365
268,336,4203
181,132,1818
44,358,5282
345,213,1982
423,88,6488
322,288,773
290,207,9982
364,269,7673
186,36,7924
94,342,3403
59,213,2022
243,283,1535
196,373,9916
329,65,1920
12,189,4534
464,150,3612
379,69,7549
458,349,5581
155,255,5853
93,352,6891
316,112,8932
379,24,6411
442,246,1341
461,57,6939
439,154,4660
201,42,1636
268,29,170
131,170,3811
388,69,5076
306,188,7542
308,160,904
197,1,8179
343,4,3918
331,442,9609
401,475,3697
34,92,6722
138,149,7564
89,243,1812
1,117,7071
219,474,5854
30,358,5296
150,169,9828
18,73,8693
258,17,6868
35,22,4916
218,315,8067
208,403,7157
425,146,1856
474,80,4537
145,308,251
41,439,8871
330,418,6699
198,249,4590
48,322,5454
459,160,9136
356,164,3434
184,352,3384
425,351,535
253,68,9335
493,114,5353
245,416,6661
68,246,8969
411,244,9086
480,198,8252
422,460,8792
81,100,4023
17,395,1839
95,122,9158
486,402,1164
138,406,4957
314,423,7214
204,456,48
369,162,5796
365,195,5133
453,302,1407
499,229,1686
409,38,2829
262,244,271
447,298,4720
244,489,5905
471,226,6332
257,203,6101
82,123,2663
24,20,2196
317,480,8037
87,25,3113
64,484,5798
210,72,4366
50,491,5456
392,250,7178
92,222,2058
33,194,8104
95,466,4852
291,13,2677
231,141,3774
307,434,1734
289,68,7880
136,271,3774
410,31,591
488,71,4458
77,336,5992
479,225,8061
429,482,5852
17,88,9635
119,445,5680
235,166,6035
88,59,879
288,337,1097
198,71,8315
278,349,2745
292,101,8830
299,75,4757
77,204,1625
97,320,8368
360,75,9866
15,75,2647
198,496,8174
211,132,3108
342,490,2511
426,74,3530
45,213,6915
2,149,4367
72,399,6988
4,284,5159
234,443,7192
187,288,201
171,299,8063
480,150,7153
126,365,3513
27,61,5943
308,207,982
69,285,2265
392,58,3743
309,167,22
493,336,4764
402,397,3767
299,205,7356
255,96,986
249,477,7016
404,166,3434
20,43,2217
487,262,5238
259,289,4025
214,292,821
282,415,6783
438,374,3552
379,32,3575
48,332,5028
148,183,805
346,483,6566
68,237,4446
409,25,6350
483,340,1878
113,432,1473
114,284,4663
433,272,1081
93,394,4829
101,186,9309
52,231,7792
58,83,8078
27,324,1143
401,61,4711
233,462,9062
233,96,8286
334,380,1192
250,223,1316
429,269,6195
65,250,2514
433,320,5267
403,78,2712
275,267,6718
331,209,3308
87,133,4193
470,330,4856
51,231,5975
498,7,4523
412,278,6184
331,319,9053
86,470,4682
311,130,7879
419,120,894
270,458,50
61,73,6318
119,353,8946
64,334,4781
186,414,6298
282,202,4758
423,72,8871
166,228,9234
252,300,4706
140,278,2299
367,184,8533
422,372,7097
390,447,313
346,214,6383
373,27,5243
282,288,1240
115,320,4937
375,155,3664
26,126,9688
462,254,3197
275,310,1293
186,395,5229
305,178,5214
155,489,2285
23,411,4968
329,444,3201
29,306,836
264,414,4137
349,429,2381
252,110,8774
339,129,7093
42,246,1000
114,398,4128
32,136,1737
215,267,2622
132,262,3004
352,286,8226
324,340,8072
253,123,2600
327,290,6509
88,273,8863
41,158,5190
374,458,2287
176,125,5275
362,104,1566
445,482,7010
250,114,5140
185,310,4283
50,482,2095
122,371,3226
144,326,5864
154,199,7207
315,96,9217
323,326,7515
311,499,7053
88,234,5202
101,146,3598
133,74,1520
164,233,9713
245,192,5175
250,354,4001
125,485,9024
281,248,1038
339,201,5325
443,43,9749
259,473,6666
392,319,5325
256,421,4398
177,197,8358
215,179,2756
271,181,9573
367,301,4534
339,268,5150
472,20,1851
469,275,1292
93,298,9223
259,407,4398
244,277,2627
438,318,4054
377,230,9807
463,400,2240
312,281,1778
166,162,3670
146,413,7958
127,92,3963
378,199,1797
497,262,2975
277,301,2312
91,464,3338
84,92,7670
203,172,2589
491,172,5891
384,351,6644
11,139,7775
222,328,8078
112,478,9098
345,215,2709
249,185,4141
335,287,632
446,435,9335
351,227,1410
354,79,6521
18,79,9085
59,473,6608
177,191,5419
15,180,8958
98,197,4236
188,165,5089
81,320,4040
398,79,3150
425,50,4498
128,29,1453
286,89,7312
196,49,2490
104,477,8172
278,188,2589
91,500,7575
111,228,6362
365,68,9543
448,121,5015
366,317,303
83,389,4548
203,349,3432
116,392,6846
380,258,2971
82,131,1960
44,377,4835
491,77,442
325,227,9906
181,379,2523
176,337,1315
23,434,7580
168,201,5969
252,491,7263
467,138,8275
91,295,2941
280,346,255
64,442,4059
79,11,3128
497,358,2138
456,60,6585
226,64,4086
229,483,4746
98,242,7363
495,36,50
21,193,5218
70,275,8135
145,379,3725
79,419,2282
480,452,8999
397,417,9392
195,389,5565
459,460,4920
405,95,7977
7,289,5059
163,45,7717
298,438,4499
171,128,5708
467,199,4931
64,100,5007
188,387,7165
470,88,5641
76,77,3446
232,299,2822
195,9,8357
269,239,4384
288,105,4558
440,73,9219
202,428,2880
442,307,8606
176,239,3431
498,392,6906
329,152,4147
208,148,739
283,380,357
221,257,4615
30,110,3673
104,60,9073
336,271,7134
459,361,2497
413,224,6071
445,114,1493
61,65,1523
211,183,5847
21,181,2858
8,493,4117
360,235,7650
298,491,9422
180,233,5556
273,130,1503
489,418,6117
311,78,8523
72,353,8746
328,219,2792
14,93,7385
270,107,4898
498,222,7087
178,13,8374
265,130,7710
352,179,5706
61,423,6561
454,443,730
360,8,1195
45,500,7665
378,233,5366
130,426,5025
113,325,1135
168,180,9016
488,419,2607
274,251,1325
10,379,4102
171,477,901
321,206,7236
489,471,2380
316,342,2407
369,241,2566
483,100,3803
375,430,1629
450,21,7906
482,389,5566
246,176,9165
500,238,4392
389,453,1571
269,433,9031
84,88,8787
44,364,7015
56,371,1769
273,126,982
338,301,831
33,210,395
177,306,9409
92,418,2694
455,383,5900
430,366,3310
89,251,5314
19,243,5734
62,93,2738
437,267,712
375,45,1504
118,101,5748
340,2,4094
155,78,4889
346,43,924
217,161,7947
229,58,5422
458,76,350
497,45,8309
4,216,4632
412,447,6238
424,161,4051
73,298,1366
244,422,6360
146,480,2617
403,396,1176
167,459,5308
7,139,2899
430,307,9957
340,79,9593
203,472,2682
337,3,2232
449,267,2922
106,172,5646
342,447,1779
450,169,5301
169,225,8911
